2021-02-02 10:31:34:	warmed up the filament remotely this morning
2021-02-02 10:31:39:	about to turn it on for low mag cook
2021-02-02 10:31:43:	sectino 685
2021-02-02 10:31:56:	clicked ON
2021-02-02 10:32:00:	aperture is open
2021-02-02 10:32:44:	initial bright current: 62.9
2021-02-02 10:32:48:	62.6
2021-02-02 10:32:52:	62.7
2021-02-02 10:32:53:	62.8
2021-02-02 10:32:56:	62.6
2021-02-02 10:33:43:	lmc started
2021-02-02 10:33:46:	62.4
2021-02-02 10:33:52:	penning gauge 4
2021-02-02 10:33:56:	penning gauge 6
2021-02-02 10:34:09:	62.9
2021-02-02 10:34:16:	62.8
2021-02-02 10:34:21:	62.5
2021-02-02 10:34:24:	62.6
2021-02-02 10:34:27:	63.0
2021-02-02 10:34:32:	62.9
2021-02-02 10:34:43:	63.3
2021-02-02 10:34:46:	62.8
2021-02-02 10:34:49:	63
2021-02-02 10:34:54:	63.1
2021-02-02 10:35:03:	62.5
2021-02-02 10:35:06:	62.3
2021-02-02 10:35:26:	63.3
2021-02-02 10:35:28:	62.3
2021-02-02 10:35:31:	62.4
2021-02-02 10:35:32:	62.3
2021-02-02 10:35:41:	62.2
2021-02-02 10:36:02:	62.5
2021-02-02 10:36:04:	62.9
2021-02-02 10:36:06:	62.8
2021-02-02 10:36:09:	62.9
2021-02-02 10:36:15:	62.5
2021-02-02 10:36:26:	62.4
2021-02-02 10:36:30:	62.9
2021-02-02 10:36:36:	62.7
2021-02-02 10:36:44:	62.2
2021-02-02 10:36:49:	62.3
2021-02-02 10:37:11:	63.2
2021-02-02 10:37:14:	63.5
2021-02-02 10:37:17:	62.5
2021-02-02 10:37:26:	62.4
2021-02-02 10:37:31:	63
2021-02-02 10:38:14:	62.4
2021-02-02 10:38:18:	62.5
2021-02-02 10:38:21:	63.22
2021-02-02 10:38:23:	63
2021-02-02 10:38:49:	62.3
2021-02-02 10:39:02:	62.9
2021-02-02 10:39:05:	62.8
2021-02-02 10:39:12:	62.9
2021-02-02 10:39:15:	62.8
2021-02-02 10:39:18:	62.7
2021-02-02 10:39:20:	63
2021-02-02 10:39:30:	62.7
2021-02-02 10:39:38:	62.3
2021-02-02 10:39:43:	62.1
2021-02-02 10:39:53:	62
2021-02-02 10:40:23:	62.3
2021-02-02 10:40:41:	62.2
2021-02-02 10:40:47:	62.6
2021-02-02 10:40:50:	done cooking
2021-02-02 10:41:16:	62.3
2021-02-02 10:41:26:	62.1
2021-02-02 10:42:17:	62.6
2021-02-02 10:42:29:	62.3
2021-02-02 10:42:32:	61.9
2021-02-02 10:42:41:	62.1
2021-02-02 10:42:44:	61.6
2021-02-02 10:42:54:	62.4
2021-02-02 10:42:59:	going to high mag aperture
2021-02-02 10:43:13:	went to high mag without image shift clipping
2021-02-02 10:43:17:	61.8
2021-02-02 10:43:52:	centered aperture at 600x
2021-02-02 10:44:32:	61.2
2021-02-02 10:44:34:	61.1
2021-02-02 10:44:35:	61.2
2021-02-02 10:45:29:	62
2021-02-02 10:45:30:	61.4
2021-02-02 10:45:33:	61.5
2021-02-02 10:45:37:	62.4
2021-02-02 10:45:41:	61.6
2021-02-02 10:45:45:	61.4
2021-02-02 10:45:48:	61.6
2021-02-02 10:46:22:	62
2021-02-02 10:46:30:	63.5
2021-02-02 10:46:33:	62.6
2021-02-02 10:47:19:	61
2021-02-02 10:47:25:	saved snapshot of formvar reference point
2021-02-02 10:47:32:	60.9
2021-02-02 10:49:30:	focused at 5000x
2021-02-02 10:49:35:	61.4
2021-02-02 10:49:47:	61.1
2021-02-02 10:50:05:	image looks good, moved polygon
2021-02-02 10:50:08:	about to run image shift
2021-02-02 10:50:19:	61.9
2021-02-02 10:50:23:	61
2021-02-02 10:50:38:	61.2
2021-02-02 10:50:46:	its good
2021-02-02 10:51:05:	61.4
2021-02-02 10:51:34:	running high mag cook
2021-02-02 10:52:06:	60.7
2021-02-02 10:52:09:	60.6
2021-02-02 10:52:17:	moved mirror
2021-02-02 10:52:40:	60.9
2021-02-02 10:53:17:	60.7
2021-02-02 10:54:29:	61
2021-02-02 10:54:30:	60.6
2021-02-02 10:54:33:	60.7
2021-02-02 10:54:40:	60.4
2021-02-02 10:54:52:	60.9
2021-02-02 10:55:01:	60.5
2021-02-02 10:55:08:	leaving the room to set up TEM2 capture
2021-02-02 11:09:47:	back
2021-02-02 11:09:51:	59.8
2021-02-02 11:09:53:	60.1
2021-02-02 11:09:56:	60.6
2021-02-02 11:10:00:	59.7
2021-02-02 11:10:06:	60.9
2021-02-02 11:10:08:	62.1
2021-02-02 11:10:11:	59.6
2021-02-02 11:10:14:	61.9
2021-02-02 11:10:17:	60.5
2021-02-02 11:10:22:	61.5
2021-02-02 11:10:25:	61.4
2021-02-02 11:10:28:	61.6
2021-02-02 11:10:31:	60.1
2021-02-02 11:10:33:	60
2021-02-02 11:10:43:	63.3
2021-02-02 11:10:45:	60.2
2021-02-02 11:10:49:	59.8
2021-02-02 11:10:54:	59.9
2021-02-02 11:10:59:	59.7
2021-02-02 11:11:00:	60.4
2021-02-02 11:11:07:	60
2021-02-02 11:11:09:	60.8
2021-02-02 11:11:16:	59.8
2021-02-02 11:11:21:	61.8
2021-02-02 11:11:24:	62.6
2021-02-02 11:11:27:	63.3
2021-02-02 11:11:28:	61.9
2021-02-02 11:11:31:	61
2021-02-02 11:11:36:	59.8
2021-02-02 11:11:39:	59.9
2021-02-02 11:11:42:	60.1
2021-02-02 11:11:44:	60
2021-02-02 11:11:46:	61
2021-02-02 11:11:53:	59.7
2021-02-02 11:12:00:	59.6
2021-02-02 11:12:05:	59.5
2021-02-02 11:12:08:	60.8
2021-02-02 11:12:11:	59.6
2021-02-02 11:12:22:	59.8
2021-02-02 11:12:26:	59.6
2021-02-02 11:12:30:	59.4
2021-02-02 11:12:42:	60
2021-02-02 11:12:48:	60.4
2021-02-02 11:12:51:	63
2021-02-02 11:12:52:	61.1
2021-02-02 11:12:56:	60.2
2021-02-02 11:13:00:	60.4
2021-02-02 11:13:05:	60.2
2021-02-02 11:13:08:	60.4
2021-02-02 11:13:16:	62.7
2021-02-02 11:13:19:	62.2
2021-02-02 11:13:24:	59.9
2021-02-02 11:13:27:	60.9
2021-02-02 11:13:29:	60.6
2021-02-02 11:13:33:	60.7
2021-02-02 11:13:38:	60.2
2021-02-02 11:13:40:	60.3
2021-02-02 11:13:49:	59.9
2021-02-02 11:13:51:	60.2
2021-02-02 11:13:56:	59.8
2021-02-02 11:14:07:	60.1
2021-02-02 11:14:12:	60.2
2021-02-02 11:14:25:	59.9
2021-02-02 11:14:33:	60.1
2021-02-02 11:14:39:	61.6
2021-02-02 11:14:41:	61.2
2021-02-02 11:14:49:	60.3
2021-02-02 11:14:54:	59.9
2021-02-02 11:14:57:	61.1
2021-02-02 11:14:59:	61.8
2021-02-02 11:15:02:	59.7
2021-02-02 11:15:07:	61
2021-02-02 11:15:09:	61.4
2021-02-02 11:15:11:	61
2021-02-02 11:15:14:	60.8
2021-02-02 11:15:16:	61
2021-02-02 11:15:19:	60.8
2021-02-02 11:15:27:	60.7
2021-02-02 11:15:32:	62.4
2021-02-02 11:15:34:	61.6
2021-02-02 11:15:38:	61
2021-02-02 11:15:40:	60
2021-02-02 11:15:45:	59.8
2021-02-02 11:15:46:	60
2021-02-02 11:15:47:	60.3
2021-02-02 11:15:49:	60.1
2021-02-02 11:15:51:	60.4
2021-02-02 11:15:53:	60.6
2021-02-02 11:16:01:	61.8
2021-02-02 11:16:32:	60.1
2021-02-02 11:16:35:	62.7
2021-02-02 11:16:37:	61
2021-02-02 11:16:41:	61.5
2021-02-02 11:16:44:	61.1
2021-02-02 11:16:48:	60.5
2021-02-02 11:16:52:	59.6
2021-02-02 11:16:55:	60.1
2021-02-02 11:16:57:	60
2021-02-02 11:17:01:	62.7
2021-02-02 11:17:03:	62.4
2021-02-02 11:17:05:	61.2
2021-02-02 11:17:08:	59.8
2021-02-02 11:17:10:	60.8
2021-02-02 11:17:14:	60.5
2021-02-02 11:17:18:	59.8
2021-02-02 11:17:21:	60.9
2021-02-02 11:17:23:	60.7
2021-02-02 11:17:29:	60.3
2021-02-02 11:17:33:	62.3
2021-02-02 11:17:35:	59.8
2021-02-02 11:17:40:	59.9
2021-02-02 11:17:42:	60.2
2021-02-02 11:17:46:	60.5
2021-02-02 11:17:49:	60.2
2021-02-02 11:17:54:	60.9
2021-02-02 11:18:01:	59.9
2021-02-02 11:18:04:	59.5
2021-02-02 11:18:18:	60.2
2021-02-02 11:18:20:	62.3
2021-02-02 11:18:23:	63.4
2021-02-02 11:18:25:	63.2
2021-02-02 11:18:27:	63.4
2021-02-02 11:18:29:	61.6
2021-02-02 11:18:36:	59.9
2021-02-02 11:18:38:	60.5
2021-02-02 11:18:41:	60.7
2021-02-02 11:18:44:	60.5
2021-02-02 11:18:45:	60.8
2021-02-02 11:18:48:	60.3
2021-02-02 11:18:50:	60.2
2021-02-02 11:19:06:	60.8
2021-02-02 11:19:10:	60.7
2021-02-02 11:19:12:	60.3
2021-02-02 11:19:17:	60.1
2021-02-02 11:19:23:	60
2021-02-02 11:19:26:	60.9
2021-02-02 11:19:41:	59.8
2021-02-02 11:19:44:	59.7
2021-02-02 11:19:50:	61.1
2021-02-02 11:19:50:	61.2
2021-02-02 11:19:53:	61.6
2021-02-02 11:19:55:	61.8
2021-02-02 11:19:58:	61.6
2021-02-02 11:20:00:	61.4
2021-02-02 11:20:01:	61.3
2021-02-02 11:20:03:	61.8
2021-02-02 11:20:06:	61.5
2021-02-02 11:20:11:	60.9
2021-02-02 11:20:14:	61
2021-02-02 11:20:16:	60.4
2021-02-02 11:20:21:	60.5
2021-02-02 11:20:23:	60.6
2021-02-02 11:20:26:	59.9
2021-02-02 11:20:29:	high mag cook done
2021-02-02 11:20:32:	61.9
2021-02-02 11:20:35:	60.8
2021-02-02 11:20:49:	waiting for stable filament
2021-02-02 11:20:52:	60.9
2021-02-02 11:20:55:	61.1
2021-02-02 11:21:00:	59.9
2021-02-02 11:21:06:	59.8
2021-02-02 11:21:08:	60
2021-02-02 11:21:09:	60.3
2021-02-02 11:21:12:	60.8
2021-02-02 11:21:20:	59.8
2021-02-02 11:21:27:	60
2021-02-02 11:21:30:	59.9
2021-02-02 11:21:38:	59.9
2021-02-02 11:21:49:	est 231% change
2021-02-02 11:21:52:	60.3
2021-02-02 11:22:02:	60.4
2021-02-02 11:22:06:	60.3
2021-02-02 11:22:09:	60.7
2021-02-02 11:22:12:	60.6
2021-02-02 11:22:14:	60.7
2021-02-02 11:22:17:	60.1
2021-02-02 11:22:25:	60.4
2021-02-02 11:22:37:	59.9
2021-02-02 11:22:49:	60.3
2021-02-02 11:22:54:	60.8
2021-02-02 11:22:57:	60.1
2021-02-02 11:23:16:	60.5
2021-02-02 11:23:26:	59.8
2021-02-02 11:23:39:	60.1
2021-02-02 11:23:44:	60
2021-02-02 11:23:50:	59.9
2021-02-02 11:23:52:	60
2021-02-02 11:23:57:	est 91%
2021-02-02 11:23:59:	60.2
2021-02-02 11:24:02:	60.5
2021-02-02 11:24:06:	60.4
2021-02-02 11:24:09:	60.3
2021-02-02 11:24:15:	59.9
2021-02-02 11:24:28:	60.4
2021-02-02 11:24:31:	60.5
2021-02-02 11:24:39:	60
2021-02-02 11:24:55:	59.9
2021-02-02 11:24:57:	60.1
2021-02-02 11:25:10:	60.2
2021-02-02 11:25:37:	60.3
2021-02-02 11:25:38:	60.2
2021-02-02 11:25:41:	60.4
2021-02-02 11:25:53:	60.1
2021-02-02 11:25:59:	est 38%
2021-02-02 11:26:01:	60
2021-02-02 11:26:33:	60.4
2021-02-02 11:26:45:	59.8
2021-02-02 11:26:52:	59.9
2021-02-02 11:27:05:	60.3
2021-02-02 11:27:10:	59.9
2021-02-02 11:27:15:	59.7
2021-02-02 11:27:18:	59.8
2021-02-02 11:27:35:	59.7
2021-02-02 11:27:46:	59.9
2021-02-02 11:27:53:	59.6
2021-02-02 11:28:10:	est 58%
2021-02-02 11:28:13:	60.1
2021-02-02 11:28:16:	60.6
2021-02-02 11:28:25:	60.9
2021-02-02 11:28:27:	60.3
2021-02-02 11:28:32:	60.2
2021-02-02 11:28:48:	60.4
2021-02-02 11:28:51:	60
2021-02-02 11:29:11:	60.2
2021-02-02 11:29:23:	59.8
2021-02-02 11:29:38:	60
2021-02-02 11:29:48:	60.1
2021-02-02 11:29:52:	60
2021-02-02 11:30:03:	60.4
2021-02-02 11:30:21:	est 33%
2021-02-02 11:30:26:	60.2
2021-02-02 11:30:30:	59.9
2021-02-02 11:30:45:	59.7
2021-02-02 11:30:51:	59.5
2021-02-02 11:31:05:	59.9
2021-02-02 11:31:11:	59.7
2021-02-02 11:31:24:	59.6
2021-02-02 11:31:40:	59.8
2021-02-02 11:31:54:	60
2021-02-02 11:32:10:	59.5
2021-02-02 11:32:30:	est 17%
2021-02-02 11:32:35:	starting
2021-02-02 11:32:38:	59.7
2021-02-02 11:32:39:	59.8
2021-02-02 11:33:14:	60.3
2021-02-02 11:33:35:	60.4
2021-02-02 11:33:42:	59.6
2021-02-02 11:33:50:	59.7
2021-02-02 11:33:54:	59.9
2021-02-02 11:34:09:	60.3
2021-02-02 11:34:15:	60.1
2021-02-02 11:34:25:	59.8
2021-02-02 11:34:34:	59.5
2021-02-02 11:34:40:	60.2
2021-02-02 11:35:21:	60
2021-02-02 11:35:27:	60.3
2021-02-02 11:35:36:	59.9
2021-02-02 11:35:45:	59.8
2021-02-02 11:35:52:	59.5
2021-02-02 11:35:59:	59.6
2021-02-02 11:36:40:	60
2021-02-02 11:37:10:	59.8
2021-02-02 11:37:36:	59.5
2021-02-02 11:37:51:	59.6
2021-02-02 11:38:12:	59.7
2021-02-02 11:38:18:	59.4
2021-02-02 11:38:23:	59.8
2021-02-02 11:38:40:	adjust by 1 decimal place
2021-02-02 11:38:54:	597
2021-02-02 11:39:01:	596
2021-02-02 11:39:26:	595
2021-02-02 11:39:43:	594
2021-02-02 11:40:08:	593
2021-02-02 11:40:14:	596
2021-02-02 11:40:21:	597
2021-02-02 11:40:28:	598
2021-02-02 11:40:33:	597
2021-02-02 11:40:53:	595
2021-02-02 11:41:13:	597
2021-02-02 11:41:32:	594
2021-02-02 11:41:56:	596
2021-02-02 11:42:01:	597
2021-02-02 11:42:12:	595
2021-02-02 11:42:43:	597
2021-02-02 11:42:54:	596
2021-02-02 11:42:59:	595
2021-02-02 11:43:11:	594
2021-02-02 11:43:44:	595
2021-02-02 11:43:59:	596
2021-02-02 11:44:22:	594
2021-02-02 11:44:33:	599
2021-02-02 11:44:43:	597
2021-02-02 11:44:48:	596
2021-02-02 11:45:04:	595
2021-02-02 11:45:09:	597
2021-02-02 11:45:41:	595
2021-02-02 11:46:06:	594
2021-02-02 11:46:18:	598
2021-02-02 11:46:25:	597
2021-02-02 11:46:28:	599
2021-02-02 11:46:33:	60.2
