2021-02-02 10:31:34:	warmed up the filament remotely this morning
2021-02-02 11:46:38:	59.9
2021-02-02 11:46:42:	60
2021-02-02 11:46:48:	605
2021-02-02 11:46:54:	602
2021-02-02 11:47:05:	600
2021-02-02 11:47:11:	599
2021-02-02 11:47:14:	597
2021-02-02 11:47:21:	593
2021-02-02 11:47:25:	595
2021-02-02 11:47:30:	596
2021-02-02 11:47:36:	597
2021-02-02 11:47:48:	595
2021-02-02 11:47:54:	599
2021-02-02 11:47:58:	598
2021-02-02 11:48:27:	596
2021-02-02 11:48:31:	599
2021-02-02 11:48:34:	598
2021-02-02 11:48:39:	594
2021-02-02 11:48:47:	595
2021-02-02 11:49:07:	594
2021-02-02 11:49:13:	596
2021-02-02 11:49:31:	597
2021-02-02 11:49:36:	595
2021-02-02 11:49:40:	599
2021-02-02 11:49:56:	594
2021-02-02 11:50:25:	597
2021-02-02 11:50:44:	596
2021-02-02 11:50:51:	597
2021-02-02 11:50:58:	598
2021-02-02 11:51:03:	594
2021-02-02 11:51:07:	598
2021-02-02 11:51:12:	597
2021-02-02 11:52:03:	600
2021-02-02 11:52:13:	593
2021-02-02 11:52:26:	598
2021-02-02 11:52:51:	595
2021-02-02 11:52:55:	594
2021-02-02 11:53:23:	593
2021-02-02 11:53:30:	594
2021-02-02 11:53:34:	593
2021-02-02 11:53:40:	594
2021-02-02 11:54:57:	595
2021-02-02 11:55:15:	593
2021-02-02 11:55:40:	597
2021-02-02 11:55:45:	599
2021-02-02 11:55:56:	596
2021-02-02 11:56:02:	598
2021-02-02 11:56:10:	591
2021-02-02 11:56:15:	592
2021-02-02 11:56:19:	593
2021-02-02 11:56:23:	592
2021-02-02 11:56:35:	594
2021-02-02 11:56:42:	595
2021-02-02 11:57:19:	593
2021-02-02 11:57:29:	594
2021-02-02 11:57:37:	595
2021-02-02 11:57:49:	592
2021-02-02 11:58:08:	596
2021-02-02 11:58:15:	597
2021-02-02 11:58:28:	598
2021-02-02 11:58:31:	602
2021-02-02 11:58:35:	604
2021-02-02 11:58:38:	600
2021-02-02 11:58:46:	594
2021-02-02 11:58:48:	595
2021-02-02 11:58:51:	593
2021-02-02 11:58:53:	596
2021-02-02 11:59:03:	598
2021-02-02 11:59:11:	595
2021-02-02 11:59:20:	60
2021-02-02 11:59:25:	599
2021-02-02 11:59:27:	602
2021-02-02 11:59:35:	596
2021-02-02 11:59:45:	598
2021-02-02 11:59:53:	599
2021-02-02 11:59:55:	597
2021-02-02 12:00:11:	601
2021-02-02 12:00:16:	604
2021-02-02 12:00:53:	598
2021-02-02 12:00:54:	603
2021-02-02 12:00:55:	604
2021-02-02 12:01:00:	602
2021-02-02 12:01:10:	599
2021-02-02 12:01:13:	598
2021-02-02 12:01:31:	601
2021-02-02 12:01:42:	604
2021-02-02 12:01:46:	603
2021-02-02 12:01:55:	604
2021-02-02 12:02:06:	600
2021-02-02 12:02:20:	596
2021-02-02 12:02:27:	595
2021-02-02 12:02:29:	593
2021-02-02 12:02:39:	594
2021-02-02 12:03:04:	598
2021-02-02 12:03:10:	596
2021-02-02 12:03:17:	597
2021-02-02 12:03:40:	595
2021-02-02 12:03:49:	599
2021-02-02 12:03:56:	598
2021-02-02 12:04:26:	594
2021-02-02 12:04:36:	602
2021-02-02 12:04:41:	601
2021-02-02 12:04:43:	600
2021-02-02 12:04:47:	604
2021-02-02 12:04:55:	599
2021-02-02 12:05:01:	609
2021-02-02 12:05:03:	600
2021-02-02 12:05:15:	594
2021-02-02 12:05:20:	593
2021-02-02 12:05:24:	592
2021-02-02 12:05:27:	596
2021-02-02 12:05:45:	597
2021-02-02 12:05:48:	598
2021-02-02 12:06:07:	595
2021-02-02 12:06:15:	593
2021-02-02 12:06:26:	594
2021-02-02 12:06:50:	598
2021-02-02 12:06:58:	600
2021-02-02 12:07:06:	593
2021-02-02 12:07:09:	592
2021-02-02 12:07:13:	594
2021-02-02 12:07:17:	595
2021-02-02 12:07:31:	592
2021-02-02 12:07:47:	598
2021-02-02 12:07:57:	595
2021-02-02 12:08:08:	594
2021-02-02 12:08:15:	592
2021-02-02 12:08:33:	598
2021-02-02 12:08:43:	597
2021-02-02 12:08:47:	596
2021-02-02 12:09:09:	593
2021-02-02 12:09:13:	597
2021-02-02 12:09:26:	594
2021-02-02 12:09:37:	596
2021-02-02 12:10:07:	593
2021-02-02 12:10:11:	597
2021-02-02 12:10:21:	598
2021-02-02 12:10:25:	597
2021-02-02 12:10:31:	599
2021-02-02 12:10:39:	601
2021-02-02 12:11:16:	592
2021-02-02 12:11:19:	593
2021-02-02 12:11:24:	592
2021-02-02 12:11:29:	593
2021-02-02 12:11:41:	595
2021-02-02 12:11:45:	598
2021-02-02 12:11:50:	599
2021-02-02 12:11:59:	598
2021-02-02 12:12:03:	597
2021-02-02 12:12:23:	602
2021-02-02 12:12:41:	594
2021-02-02 12:13:21:	593
2021-02-02 12:13:47:	595
2021-02-02 12:13:51:	592
2021-02-02 12:14:17:	594
2021-02-02 12:14:40:	600
2021-02-02 12:14:44:	594
2021-02-02 12:15:03:	595
2021-02-02 12:15:51:	596
2021-02-02 12:15:56:	592
2021-02-02 12:16:06:	593
2021-02-02 12:16:13:	597
2021-02-02 12:16:15:	596
2021-02-02 12:16:19:	594
2021-02-02 12:16:46:	597
2021-02-02 12:16:53:	598
2021-02-02 12:17:10:	599
2021-02-02 12:17:13:	596
2021-02-02 12:17:16:	600
2021-02-02 12:17:20:	594
2021-02-02 12:17:31:	595
2021-02-02 12:17:39:	601
2021-02-02 12:17:57:	594
2021-02-02 12:18:00:	593
2021-02-02 12:18:12:	596
2021-02-02 12:18:18:	598
2021-02-02 12:18:27:	600
2021-02-02 12:18:37:	598
2021-02-02 12:18:46:	597
2021-02-02 12:18:52:	599
2021-02-02 12:19:20:	594
2021-02-02 12:19:44:	598
2021-02-02 12:20:13:	591
2021-02-02 12:20:23:	592
2021-02-02 12:20:32:	593
2021-02-02 12:20:35:	591
2021-02-02 12:20:49:	589
2021-02-02 12:20:55:	593
2021-02-02 12:21:02:	594
2021-02-02 12:21:23:	595
2021-02-02 12:22:02:	592
2021-02-02 12:22:11:	591
2021-02-02 12:23:15:	597
2021-02-02 12:23:31:	592
2021-02-02 12:23:42:	am I seeing the sawtooth pattern?
2021-02-02 12:23:49:	594
2021-02-02 12:24:22:	592
2021-02-02 12:24:37:	594
2021-02-02 12:24:57:	593
2021-02-02 12:25:20:	598
2021-02-02 12:25:30:	591
2021-02-02 12:25:42:	592
2021-02-02 12:25:49:	593
2021-02-02 12:27:42:	592
2021-02-02 12:27:56:	593
2021-02-02 12:28:51:	596
2021-02-02 12:28:53:	594
2021-02-02 12:29:21:	591
2021-02-02 12:29:28:	592
2021-02-02 12:29:36:	595
2021-02-02 12:29:58:	597
2021-02-02 12:30:07:	598
2021-02-02 12:30:46:	599
2021-02-02 12:30:50:	604
2021-02-02 12:30:53:	600
2021-02-02 12:31:06:	594
2021-02-02 12:31:17:	595
2021-02-02 12:32:28:	594
2021-02-02 12:32:42:	602
2021-02-02 12:32:47:	596
2021-02-02 12:33:06:	592
2021-02-02 12:33:17:	594
2021-02-02 12:33:34:	599
2021-02-02 12:33:39:	597
2021-02-02 12:34:04:	595
2021-02-02 12:34:18:	594
2021-02-02 12:34:25:	598
2021-02-02 12:34:39:	592
2021-02-02 12:34:44:	593
2021-02-02 12:34:51:	595
2021-02-02 12:35:08:	593
2021-02-02 12:35:44:	592
2021-02-02 12:36:17:	593
2021-02-02 12:36:20:	594
2021-02-02 12:37:22:	597
2021-02-02 12:38:21:	595
2021-02-02 12:38:56:	597
2021-02-02 12:39:59:	593
2021-02-02 12:41:13:	594
2021-02-02 12:41:17:	593
2021-02-02 12:41:52:	596
2021-02-02 12:42:22:	597
2021-02-02 12:42:34:	595
2021-02-02 12:42:38:	599
2021-02-02 12:42:42:	594
2021-02-02 12:42:48:	598
2021-02-02 12:42:52:	599
2021-02-02 12:43:07:	598
2021-02-02 12:43:22:	602
2021-02-02 12:43:34:	601
2021-02-02 12:43:41:	602
2021-02-02 12:43:57:	599
2021-02-02 12:44:05:	598
2021-02-02 12:44:14:	596
2021-02-02 12:44:18:	594
2021-02-02 12:44:21:	602
2021-02-02 12:44:29:	601
2021-02-02 12:44:32:	593
2021-02-02 12:44:36:	594
2021-02-02 12:44:39:	593
2021-02-02 12:44:41:	591
2021-02-02 12:44:44:	594
2021-02-02 12:46:46:	597
2021-02-02 12:46:47:	595
2021-02-02 12:46:55:	593
2021-02-02 12:47:51:	591
2021-02-02 12:47:58:	593
2021-02-02 12:48:23:	594
2021-02-02 12:48:28:	598
2021-02-02 12:48:31:	599
2021-02-02 12:48:33:	601
2021-02-02 12:48:36:	598
2021-02-02 12:48:48:	596
2021-02-02 12:49:25:	599
2021-02-02 12:49:50:	596
2021-02-02 12:49:55:	595
2021-02-02 12:49:59:	594
2021-02-02 12:50:11:	593
2021-02-02 12:50:27:	595
2021-02-02 12:50:31:	592
2021-02-02 12:50:33:	taking a break
2021-02-02 14:00:07:	back
2021-02-02 14:00:11:	59.6
2021-02-02 14:00:33:	595
2021-02-02 14:00:36:	594
2021-02-02 14:00:39:	593
2021-02-02 14:01:24:	596
2021-02-02 14:02:10:	593
2021-02-02 14:02:46:	612
2021-02-02 14:03:05:	592
2021-02-02 14:03:11:	594
2021-02-02 14:03:35:	593
2021-02-02 14:04:34:	596
2021-02-02 14:05:31:	593
2021-02-02 14:06:27:	597
2021-02-02 14:06:42:	593
2021-02-02 14:07:17:	595
2021-02-02 14:08:20:	593
2021-02-02 14:08:56:	597
2021-02-02 14:09:01:	596
2021-02-02 14:09:33:	597
2021-02-02 14:09:59:	593
2021-02-02 14:10:04:	595
2021-02-02 14:10:41:	601
2021-02-02 14:10:45:	596
2021-02-02 14:11:36:	593
2021-02-02 14:11:39:	600
2021-02-02 14:11:44:	594
2021-02-02 14:11:48:	595
2021-02-02 14:11:53:	594
2021-02-02 14:12:02:	601
2021-02-02 14:12:06:	600
2021-02-02 14:12:10:	598
2021-02-02 14:12:16:	597
2021-02-02 14:12:21:	602
2021-02-02 14:12:41:	598
2021-02-02 14:12:46:	602
2021-02-02 14:12:51:	603
2021-02-02 14:13:20:	595
2021-02-02 14:13:48:	598
2021-02-02 14:13:57:	596
2021-02-02 14:14:42:	597
2021-02-02 14:15:16:	595
2021-02-02 14:15:21:	596
2021-02-02 14:15:44:	594
2021-02-02 14:15:48:	593
2021-02-02 14:15:54:	595
2021-02-02 14:16:21:	599
2021-02-02 14:18:19:	598
2021-02-02 14:19:28:	595
2021-02-02 14:20:18:	593
2021-02-02 14:20:23:	596
2021-02-02 14:21:13:	599
2021-02-02 14:21:50:	598
2021-02-02 14:21:54:	597
2021-02-02 14:21:58:	598
2021-02-02 14:22:03:	595
2021-02-02 14:22:42:	597
2021-02-02 14:23:35:	595
2021-02-02 14:24:15:	594
2021-02-02 14:24:26:	604
2021-02-02 14:24:38:	595
2021-02-02 14:26:09:	596
2021-02-02 14:26:21:	598
2021-02-02 14:26:25:	600
2021-02-02 14:26:29:	602
2021-02-02 14:26:32:	600
2021-02-02 14:26:46:	597
2021-02-02 14:27:15:	596
2021-02-02 14:27:42:	599
2021-02-02 14:27:49:	596
2021-02-02 14:27:53:	594
2021-02-02 14:28:02:	595
2021-02-02 14:28:06:	600
2021-02-02 14:28:10:	599
2021-02-02 14:28:13:	600
2021-02-02 14:28:16:	599
2021-02-02 14:28:35:	598
2021-02-02 14:28:38:	599
2021-02-02 14:28:42:	597
2021-02-02 14:29:11:	602
2021-02-02 14:29:13:	596
2021-02-02 14:29:46:	595
2021-02-02 14:29:56:	597
2021-02-02 14:30:03:	600
2021-02-02 14:30:42:	596
2021-02-02 14:31:28:	600
2021-02-02 14:31:33:	595
2021-02-02 14:31:37:	603
2021-02-02 14:31:43:	593
2021-02-02 14:31:47:	595
2021-02-02 14:31:51:	598
2021-02-02 14:31:55:	608
2021-02-02 14:31:58:	603
2021-02-02 14:32:06:	595
2021-02-02 14:32:45:	592
2021-02-02 14:32:56:	593
2021-02-02 14:33:10:	checking tem2
2021-02-02 14:33:57:	598
2021-02-02 14:33:59:	597
2021-02-02 14:34:12:	594
2021-02-02 14:34:51:	592
2021-02-02 14:35:31:	594
2021-02-02 14:36:44:	593
2021-02-02 14:37:31:	594
2021-02-02 14:37:35:	597
2021-02-02 14:37:41:	595
2021-02-02 14:38:09:	594
2021-02-02 14:38:15:	593
2021-02-02 14:38:40:	597
2021-02-02 14:38:44:	595
2021-02-02 14:39:19:	596
2021-02-02 14:39:54:	598
2021-02-02 14:39:59:	595
2021-02-02 14:40:13:	599
2021-02-02 14:40:19:	598
2021-02-02 14:40:24:	594
2021-02-02 14:40:28:	593
2021-02-02 14:40:32:	592
2021-02-02 14:40:34:	591
2021-02-02 14:40:38:	593
2021-02-02 14:40:46:	595
2021-02-02 14:40:50:	594
2021-02-02 14:42:13:	601
2021-02-02 14:42:17:	596
2021-02-02 14:42:21:	595
2021-02-02 14:42:25:	594
2021-02-02 14:43:10:	596
2021-02-02 14:44:01:	594
2021-02-02 14:44:04:	597
2021-02-02 14:44:35:	595
2021-02-02 14:45:34:	597
2021-02-02 14:46:29:	604
2021-02-02 14:46:33:	599
2021-02-02 14:46:36:	598
2021-02-02 14:46:42:	597
2021-02-02 14:47:01:	596
2021-02-02 14:47:12:	597
2021-02-02 14:47:21:	598
2021-02-02 14:47:25:	595
2021-02-02 14:47:30:	597
2021-02-02 14:47:34:	596
2021-02-02 14:48:29:	595
2021-02-02 14:48:36:	596
2021-02-02 14:48:46:	595
2021-02-02 14:49:05:	597
2021-02-02 14:49:18:	596
2021-02-02 14:49:22:	597
2021-02-02 14:50:04:	593
2021-02-02 14:50:10:	594
2021-02-02 14:50:19:	597
2021-02-02 14:50:23:	592
2021-02-02 14:50:29:	593
2021-02-02 14:50:33:	596
2021-02-02 14:50:37:	603
2021-02-02 14:50:41:	598
2021-02-02 14:50:53:	594
2021-02-02 14:50:56:	597
2021-02-02 14:51:03:	598
2021-02-02 14:51:19:	594
2021-02-02 14:51:52:	598
2021-02-02 14:51:59:	596
2021-02-02 14:52:43:	598
2021-02-02 14:52:53:	604
2021-02-02 14:52:56:	611
2021-02-02 14:53:06:	597
2021-02-02 14:54:22:	601
2021-02-02 14:54:25:	597
2021-02-02 14:54:31:	need to eat
